Fiscal Year,Program Area,Department,Budget Unit,Major Object,Expense Category,Account Name,Approved Amount,Recommended Amount
2013,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Other Charges,Other Charges,Total of Other Charges,14901693.00,14901693.00
2015,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Other Charges,Other Charges,Total of Other Charges,15539354.00,15539354.00
2014,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Other Charges,Other Charges,Total of Other Charges,16652524.00,16652524.00
2013,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,60061714.00,60155752.00
2014,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,64571891.00,63590701.00
2015,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,70679459.00,70451974.00
2013,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,264365299.00,263340804.00
2014,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,288151769.00,287612154.00
2015,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,292631624.00,291688043.00
2015,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-6557390.00,-6457390.00
2014,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-5865754.00,-5865754.00
2013,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-5628806.00,-5628806.00
2014,Health Care Services,Environmental Health,Cooperative Extension,Other Financing Uses,Other Financing Uses,Total of Other Financing Uses,6660.00,6660.00
2015,Health Care Services,Environmental Health,Cooperative Extension,Other Financing Uses,Other Financing Uses,Total of Other Financing Uses,6660.00,6660.00
2013,Health Care Services,Environmental Health,Cooperative Extension,Other Financing Uses,Other Financing Uses,Total of Other Financing Uses,6660.00,6660.00
2015,Health Care Services,Environmental Health,Cooperative Extension,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,15000.00,15000.00
2013,Health Care Services,Environmental Health,Cooperative Extension,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,15000.00,15000.00
2014,Health Care Services,Environmental Health,Cooperative Extension,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,15000.00,15000.00
2014,Health Care Services,Environmental Health,Cooperative Extension,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,101671.00,101671.00
2013,Health Care Services,Environmental Health,Cooperative Extension,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,108819.00,108819.00
2015,Health Care Services,Environmental Health,Cooperative Extension,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,120143.00,120247.00
2013,Health Care Services,Environmental Health,Cooperative Extension,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,129677.00,129677.00
2014,Health Care Services,Environmental Health,Cooperative Extension,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,131960.00,131960.00
2015,Health Care Services,Environmental Health,Cooperative Extension,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,134927.00,134927.00
2013,Health Care Services,Environmental Health,Environmental Health,Other Financing Uses,Other Financing Uses,Total of Other Financing Uses,161175.00,161175.00
2015,Health Care Services,Environmental Health,Environmental Health,Other Financing Uses,Other Financing Uses,Total of Other Financing Uses,161175.00,161175.00
2014,Health Care Services,Environmental Health,Environmental Health,Other Financing Uses,Other Financing Uses,Total of Other Financing Uses,163569.00,163569.00
2014,Health Care Services,Environmental Health,Environmental Health,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,853254.00,853254.00
2013,Health Care Services,Environmental Health,Environmental Health,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,863657.00,863657.00
2015,Health Care Services,Environmental Health,Environmental Health,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,889780.00,880833.00
2013,Health Care Services,Environmental Health,Environmental Health,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3618846.00,3618846.00
2014,Health Care Services,Environmental Health,Environmental Health,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,4007103.00,4486441.00
2015,Health Care Services,Environmental Health,Environmental Health,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,4125057.00,4187488.00
2013,Health Care Services,Environmental Health,Environmental Health,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,11032886.00,11032886.00
2014,Health Care Services,Environmental Health,Environmental Health,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,13724419.00,13245081.00
2015,Health Care Services,Environmental Health,Environmental Health,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,14061861.00,14018750.00
2013,Health Care Services,Environmental Health,Environmental Health Grants,Other Financing Uses,Other Financing Uses,Total of Other Financing Uses,25946.00,25946.00
2015,Health Care Services,Environmental Health,Environmental Health Grants,Other Financing Uses,Other Financing Uses,Total of Other Financing Uses,25946.00,25946.00
2014,Health Care Services,Environmental Health,Environmental Health Grants,Other Financing Uses,Other Financing Uses,Total of Other Financing Uses,25946.00,25946.00
2013,Health Care Services,Environmental Health,Environmental Health Grants,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,60661.00,60661.00
2014,Health Care Services,Environmental Health,Environmental Health Grants,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,70820.00,70820.00
2015,Health Care Services,Environmental Health,Environmental Health Grants,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,105397.00,106295.00
2015,Health Care Services,Environmental Health,Environmental Health Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,252903.00,252903.00
2013,Health Care Services,Environmental Health,Environmental Health Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,381509.00,381509.00
2014,Health Care Services,Environmental Health,Environmental Health Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,464905.00,464905.00
2014,Health Care Services,Environmental Health,Environmental Health Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1165664.00,1165664.00
2013,Health Care Services,Environmental Health,Environmental Health Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1278571.00,1278571.00
2015,Health Care Services,Environmental Health,Environmental Health Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1415296.00,1415296.00
2013,Health Care Services,Health Care Measure A,Behavioral Health - Measure A,Other Charges,Other Charges,Total of Other Charges,1050220.00,1050220.00
2014,Health Care Services,Health Care Measure A,Behavioral Health - Measure A,Other Charges,Other Charges,Total of Other Charges,1050220.00,1050220.00
2015,Health Care Services,Health Care Measure A,Behavioral Health - Measure A,Other Charges,Other Charges,Total of Other Charges,1050220.00,1050220.00
2013,Health Care Services,Health Care Measure A,Behavioral Health - Measure A,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2914142.00,2914142.00
2013,Health Care Services,Health Care Measure A,Behavioral Health - Measure A,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,3175638.00,3175638.00
2014,Health Care Services,Health Care Measure A,Behavioral Health - Measure A,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3295122.00,2989142.00
2014,Health Care Services,Health Care Measure A,Behavioral Health - Measure A,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,3425638.00,3425638.00
2015,Health Care Services,Health Care Measure A,Behavioral Health - Measure A,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,6867860.00,6470760.00
2015,Health Care Services,Health Care Measure A,HCSA - Measure A,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,200.00,200.00
2014,Health Care Services,Health Care Measure A,HCSA - Measure A,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,500.00,500.00
2015,Health Care Services,Health Care Measure A,HCSA - Measure A,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,298678.00,298678.00
2014,Health Care Services,Health Care Measure A,HCSA - Measure A,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,298678.00,298678.00
2013,Health Care Services,Health Care Measure A,HCSA - Measure A,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,298678.00,298678.00
2014,Health Care Services,Health Care Measure A,HCSA - Measure A,Other Charges,Other Charges,Total of Other Charges,3000000.00,3000000.00
2015,Health Care Services,Health Care Measure A,HCSA - Measure A,Other Charges,Other Charges,Total of Other Charges,3000000.00,3000000.00
2013,Health Care Services,Health Care Measure A,HCSA - Measure A,Other Charges,Other Charges,Total of Other Charges,4000000.00,4000000.00
2013,Health Care Services,Health Care Measure A,HCSA - Measure A,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,11838023.00,11688023.00
2014,Health Care Services,Health Care Measure A,HCSA - Measure A,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,13217857.00,12812425.00
2015,Health Care Services,Health Care Measure A,HCSA - Measure A,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,13239598.00,13018157.00
2015,Health Care Services,Health Care Measure A,Public Health - Measure A,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,21059.00,21059.00
2014,Health Care Services,Health Care Measure A,Public Health - Measure A,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,24000.00,24000.00
2013,Health Care Services,Health Care Measure A,Public Health - Measure A,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,28800.00,28800.00
2013,Health Care Services,Health Care Measure A,Public Health - Measure A,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1473349.00,1473349.00
2013,Health Care Services,Health Care Measure A,Public Health - Measure A,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1631851.00,1631851.00
2015,Health Care Services,Health Care Measure A,Public Health - Measure A,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1631851.00,1631851.00
